What is being described,Chapter first Mentioned
loss adjustment expenses,1
unallocated loss adjustment expenses,1
allocated loss adjustment expenses,1
indemnification,1
insurance claim,1
loss amount,
analytics,1
renters insurance,1
homeowners insurance,1
automobile insurance,1
property insurance,1
nonlife insurance,1
casualty insurance,1
valuation date,1
underwriting ,1
ratemaking,1
reinsurer,1
loss reserve,1
technical provisions,1
experience rating,1
merit rating,1
risk classification,1
cream skimming,1
claims triage,1
pure premium,1
loss cost,1
rating variables,1
coinsurance,1
deductible,1
policy limit,1
personal lines,1
dividend,1
bonus,1
retrospective premiums,1
prospective premiums,1
claims adjustment,1
Commercial line,1
line of business,1
claims leakage,1
fraud detection,1
case reserve,1
adjuster,1
life Insurance,
capital allocation,
